  Time                  V(Vbuck)             
  1.450559000000e-04  2.379797968757e-01  
  1.450560000000e-04  2.379801002477e-01  
  1.450567000000e-04  2.379822237911e-01  
  1.450568000000e-04  2.379825271454e-01  
  1.450573000000e-04  2.379840438814e-01  
  1.450574000000e-04  2.379843472213e-01  
  1.450584993332e-04  2.379876817921e-01  
  1.450599102869e-04  2.379919611932e-01  
  1.450611563965e-04  2.379957402478e-01  
  1.450633364364e-04  2.380023507698e-01  
  1.450664720132e-04  2.380118568726e-01  
  1.450727431669e-04  2.380308623915e-01  
  1.450852854743e-04  2.380688466915e-01  
  1.451000000030e-04  2.381133641167e-01  
  1.451005000027e-04  2.381148759260e-01  
  1.451015000569e-04  2.381178994907e-01  
  1.451035001652e-04  2.381239460681e-01  
  1.451050000030e-04  2.381284797222e-01  
  1.451054000247e-04  2.381296887919e-01  
  1.451062000308e-04  2.381321067387e-01  
  1.451072000000e-04  2.381351288570e-01  
  1.451073000000e-04  2.381354310679e-01  
  1.451078000000e-04  2.381369420820e-01  
  1.451082000000e-04  2.381381508519e-01  
  1.451083000000e-04  2.381384530394e-01  
  1.451089000000e-04  2.381402661160e-01  
  1.451090000000e-04  2.381405682858e-01  
  1.451090189088e-04  2.381406254223e-01  
  1.451090567263e-04  2.381407396953e-01  
  1.451091166336e-04  2.381409207155e-01  
  1.451092364482e-04  2.381412827536e-01  
  1.451093509194e-04  2.381416286435e-01  
  1.451094879170e-04  2.381420425966e-01  
  1.451097619121e-04  2.381428704890e-01  
  1.451100000030e-04  2.381435898805e-01  
  1.451100548020e-04  2.381437554537e-01  
  1.451101643954e-04  2.381440865842e-01  
  1.451103835822e-04  2.381447488373e-01  
  1.451108219557e-04  2.381460733114e-01  
  1.451111220744e-04  2.381470686639e-01  
  1.451113187465e-04  2.381477808790e-01  
  1.451115356049e-04  2.381486315874e-01  
  1.451117648965e-04  2.381496071457e-01  
  1.451120747941e-04  2.381510443996e-01  
  1.451122207556e-04  2.381517644159e-01  
  1.451122620773e-04  2.381519730708e-01  
  1.451123248717e-04  2.381522939305e-01  
  1.451124504605e-04  2.381529493637e-01  
  1.451127016382e-04  2.381543206141e-01  
  1.451132039936e-04  2.381573879309e-01  
  1.451142087044e-04  2.381651587575e-01  
  1.451156509506e-04  2.381797259970e-01  
  1.451169786440e-04  2.381953562628e-01  
  1.451187189134e-04  2.382174954694e-01  
  1.451206962975e-04  2.382438315487e-01  
  1.451211612137e-04  2.382500437950e-01  
  1.451217272716e-04  2.382576087825e-01  
  1.451224085340e-04  2.382667141382e-01  
  1.451236112440e-04  2.382827938731e-01  
  1.451248491580e-04  2.382993524977e-01  
  1.451271040762e-04  2.383295366871e-01  
  1.451300135279e-04  2.383685218143e-01  
  1.451353622997e-04  2.384403008909e-01  
  1.451459495748e-04  2.385827825598e-01  
  1.451598925913e-04  2.387712222633e-01  
  1.451862885082e-04  2.391304254332e-01  
  1.452318383778e-04  2.397578261005e-01  
  1.452756239498e-04  2.403699262893e-01  
  1.453631950939e-04  2.416205810975e-01  
  1.455383373821e-04  2.442276039586e-01  
  1.458886219585e-04  2.498638418269e-01  
  1.460097000000e-04  2.519427917033e-01  
  1.460373000000e-04  2.524260796043e-01  
  1.460649000000e-04  2.529128507907e-01  
  1.460712000000e-04  2.530244497353e-01  
  1.460726000000e-04  2.530492741330e-01  
  1.460740000000e-04  2.530741074785e-01  
  1.460743000000e-04  2.530794300747e-01  
  1.460748000000e-04  2.530883019782e-01  
  1.460752000000e-04  2.530954003269e-01  
